film_id,film_name,actor_id,actor_name
Q4171286,Whit Monday,Q4234488,Oleg Korchikov
Q4172244,Дюма на Кавказе,Q3741164,Kārlis Sebris
Q4172244,Дюма на Кавказе,Q4216344,Roman Kartsev
Q4329833,Obratnoy dorogi net,Q1366720,Nikolay Olyalin
Q4172244,Дюма на Кавказе,Q2545982,Vladimir Etush
Q4364375,Пламя,Q61540,Viktor Tarasov
Q4359800,Pesnya vsegda s nami,Q43137,Sofia Rotaru
Q4362440,Пигмалион,Q4466489,Yevdokiya Turchaninova
Q4447946,Iriston's Son,Q1967530,Lia Eliava
Q4447946,Iriston's Son,Q4062437,Nina Alisova
Q4447757,"Счастлив, кто любил…",Q4197506,Aleksandr Ignatusha
Q4501232,"Guard Me, My Talisman",Q1958260,Aleksandr Zbruyev
Q4447979,Sons Are Leaving for Battle,Q4270664,Olha Lysenko
Q4447979,Sons Are Leaving for Battle,Q4518245,Stanislav Churkin
Q4449759,Mysterious Discovery,Q4148167,Valentin Grachyov
Q4497894,Хирургия,Q2370666,Vasili Merkuryev
Q4497042,Khevsurian Ballad,Q2382172,Zurab Kapianidze
Q4447940,Son,Q264959,Leonid Vladimirovich Kharitonov
Q4493029,Front in the Rear of the Enemy,Q95879193,Karel Bélohradsky
Q4493029,Front in the Rear of the Enemy,Q312483,Vyacheslav Tikhonov
Q4448342,Сыщик Петербургской полиции,Q4528841,Pyotr Shcherbakov
Q4447757,"Счастлив, кто любил…",Q264253,Bohdan Stupka
Q4448421,Senit zon,Q3918042,Vladimir Samoylov
Q4493029,Front in the Rear of the Enemy,Q4734268,Alois Švehlík
Q4494270,Ха-би-ассы,Q291942,Elena Korikova
Q4497042,Khevsurian Ballad,Q446914,Sofiko Chiaureli
Q4493029,Front in the Rear of the Enemy,Q101081931,Jana Robenkova
Q4446003,The Diplomatic Pouch,Q55198,Alexander Dovzhenko
Q4493784,Fuete,Q2533597,Vladimir Vasiliev
Q4493784,Fuete,Q254142,Ekaterina Maximova
Q4448341,Detective,Q4453015,Andrey Tashkov
Q4447669,Схватка в пурге,Q4282047,Leonid Markov
Q4500624,Хочу жениться,Q16374675,Samandar Rzayev
Q4500625,Хочу тебе сказать,Q4370862,Maryana Polteva
